symbol,name,series
AMBER,Amber Enterprises India Limited,EQ
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,EQ
AMBIKCO,Ambika Cotton Mills Limited,EQ
AMBUJACEM,Ambuja Cements Limited,EQ
AMJLAND,Amj Land Holdings Limited,EQ
AMNPLST,Amines & Plasticizers Limited,EQ
AMRUTANJAN,Amrutanjan Health Care Limited,EQ
ANANDRATHI,Anand Rathi Wealth Limited,EQ
ANANTRAJ,Anant Raj Limited,EQ
ANDHRAPAP,ANDHRA PAPER LIMITED,EQ
ANDHRSUGAR,The Andhra Sugars Limited,EQ
ANDREWYU,Andrew Yule & Company Limited,EQ
ANGELONE,Angel One Limited,EQ
ANIKINDS,Anik Industries Limited,EQ
ANNAPURNA,Annapurna Swadisht Limited,EQ
ANNU,Annu Projects Limited,EQ
ANSALBU,Ansal Buildwell Limited,EQ
ANTELOPUS,Antelopus Selan Energy Limited,EQ
ANTGRAPHIC,Antarctica Limited,EQ
ANTHEM,Anthem Biosciences Limited,EQ
ANUHPHR,Anuh Pharma Limited,EQ
ANUP,The Anup Engineering Limited,EQ
ANURAS,Anupam Rasayan India Limited,EQ
APARINDS,Apar Industries Limited,EQ
APCL,Anjani Portland Cement Limited,EQ
APCOTEXIND,Apcotex Industries Limited,EQ
APEX,Apex Frozen Foods Limited,EQ
APLAPOLLO,APL Apollo Tubes Limited,EQ
APLLTD,Alembic Pharmaceuticals Limited,EQ
APOLLO,Apollo Micro Systems Limited,EQ
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ
APOLLOPIPE,Apollo Pipes Limited,EQ
APOLLOTYRE,Apollo Tyres Limited,EQ
APOLSINHOT,Apollo Sindoori Hotels Limited,EQ
APOORVA,Apoorva Leasing Finance and Investment Company Limited,EQ
APTECHT,Aptech Limited,EQ
APTUS,Aptus Value Housing Finance India Limited,EQ
AQYLON,Aqylon Nexus Limited,EQ
ARCHIDPLY,Archidply Industries Limited,EQ
ARCHIES,Archies Limited,EQ
ARCIL,Asset Reconstruction Company (India) Limited,EQ
ARCL,ARCL Organics Limited,EQ
ARDEE,Ardee Industries Limited,EQ
ARE&M,Amara Raja Energy & Mobility Limited,EQ
ARENTERP,Rajdarshan Industries Limited,EQ
ARFIN,Arfin India Limited,EQ
ARIHANT,Arihant Foundations & Housing Limited,EQ
ARIHANTCAP,Arihant Capital Markets Limited,EQ
ARIHANTSUP,Arihant Superstructures Limited,EQ
ARIS,Arisinfra Solutions Limited,EQ
ARKADE,Arkade Developers Limited,EQ
ARMANFIN,Arman Financial Services Limited,EQ
AROGRANITE,Aro Granite Industries Limited,EQ
ARROWGREEN,Arrow Greentech Limited,EQ
ARSSBL,Anand Rathi Share and Stock Brokers Limited,EQ
ARTEMISMED,Artemis Medicare Services Limited,EQ
ARTNIRMAN,Art Nirman Limited,EQ
ARVEE,Arvee Laboratories (India) Limited,EQ
ARVIND,Arvind Limited,EQ
ARVINDFASN,Arvind Fashions Limited,EQ
ARVSMART,Arvind SmartSpaces Limited,EQ
ARYAMAN,Aryaman Financial Services Limited,EQ
ASAHIINDIA,Asahi India Glass Limited,EQ
ASAL,Automotive Stampings and Assemblies Limited,EQ
ASALCBR,Associated Alcohols & Breweries Ltd.,EQ
ASHAPURMIN,Ashapura Minechem Limited,EQ
ASHIANA,Ashiana Housing Limited,EQ
ASHIMASYN,Ashima Limited,EQ
ASHOKA,Ashoka Buildcon Limited,EQ
ASHOKAMET,Ashoka Metcast Limited,EQ
ASHOKLEY,Ashok Leyland Limited,EQ
ASIANENE,Asian Energy Services Limited,EQ
ASIANHOTNR,Asian Hotels (North) Limited,EQ
ASIANPAINT,Asian Paints Limited,EQ
ASIANTILES,Asian Granito India Limited,EQ
ASIANTNE,Asian Tea & Exports Limited,EQ
ASKAUTOLTD,ASK Automotive Limited,EQ
ASMS,Avio Smart Market Stack Limited,EQ
ASPINWALL,Aspinwall and Company Limited,EQ
ASSAMENT,Assam Entrade Limited,EQ
ASTAR,Asian Star Company Limited,EQ
ASTEC,Astec LifeSciences Limited,EQ
ASTERDM,Aster DM Quality Care Limited,EQ
ASTRAL,Astral Limited,EQ
ASTRAMICRO,Astra Microwave Products Limited,EQ
ASTRAZEN,AstraZeneca Pharma India Limited,EQ
ATALREAL,Atal Realtech Limited,EQ
ATAM,Atam Valves Limited,EQ
ATGL,Adani Total Gas Limited,EQ
ATHERENERG,Ather Energy Limited,EQ
ATL,Allcargo Terminals Limited,EQ
ATLANTAA,ATLANTAA LIMITED,EQ
ATLANTAELE,Atlanta Electricals Limited,EQ
ATLASCYCLE,Atlas Cycles (Haryana) Limited,EQ
ATUL,Atul Limited,EQ
ATULAUTO,Atul Auto Limited,EQ
AUBANK,AU Small Finance Bank Limited,EQ
AUGMONT,Augmont Enterprises Limited,EQ
AURIONPRO,Aurionpro Solutions Limited,EQ
AUROPHARMA,Aurobindo Pharma Limited,EQ
AURUM,Aurum PropTech Limited,EQ
AURUS,AURUS GEM CORPORATION LIMITED,EQ
AUSOMENT,Ausom Enterprise Limited,EQ
AUSTENG,Austin Engineering Company  Limited,EQ
AUTOAXLES,Automotive Axles Limited,EQ
AUTOIND,Autoline Industries Limited,EQ
AVADHSUGAR,Avadh Sugar & Energy Limited,EQ
AVALON,Avalon Technologies Limited,EQ
AVANCE,Avance Technologies Limited,EQ
AVANTEL,Avantel Limited,EQ
AVANTIFEED,Avanti Feeds Limited,EQ
AVL,Aditya Vision Limited,EQ
AVONMORE,Avonmore Capital & Management Services Limited,EQ
AVROIND,AVRO INDIA LIMITED,EQ
AVTNPL,AVT Natural Products Limited,EQ
AWFIS,Awfis Space Solutions Limited,EQ
AWHCL,Antony Waste Handling Cell Limited,EQ
AWL,AWL Agri Business Limited,EQ
AXISBANK,Axis Bank Limited,EQ
AXISCADES,AXISCADES Technologies Limited,EQ
AXITA,Axita Cotton Limited,EQ
AXTEL,Axtel Industries Limited,EQ
AYE,Aye Finance Limited,EQ
AYMSYNTEX,AYM Syntex Limited,EQ
AZAD,Azad Engineering Limited,EQ
AZADIND,Azad India Mobility Limited,EQ
BAGFILMS,B.A.G Films and Media Limited,EQ
BAIDFIN,Baid Finserv Limited,EQ
BAJAJ-AUTO,Bajaj Auto Limited,EQ
BAJAJCON,Bajaj Consumer Care Limited,EQ
BAJAJELEC,Bajaj Electricals Limited,EQ
BAJAJFINSV,Bajaj Finserv Limited,EQ
BAJAJHCARE,Bajaj Healthcare Limited,EQ
BAJAJHFL,Bajaj Housing Finance Limited,EQ
BAJAJHIND,Bajaj Hindusthan Sugar Limited,EQ
BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ
BAJAJINDEF,Indef Manufacturing Limited,EQ
BAJAJST,Bajaj Steel Industries Limited,EQ
BAJEL,Bajel Projects Limited,EQ
BAJFINANCE,Bajaj Finance Limited,EQ
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,EQ
BALAJITELE,Balaji Telefilms Limited,EQ
BALAMINES,Balaji Amines Limited,EQ
BALAXI,BALAXI PHARMACEUTICALS LIMITED,EQ
BALKRISHNA,Balkrishna Paper Mills Limited,EQ
BALKRISIND,Balkrishna Industries Limited,EQ
BALMLAWRIE,Balmer Lawrie & Company Limited,EQ
BALPHARMA,Bal Pharma Limited,EQ
BALRAMCHIN,Balrampur Chini Mills Limited,EQ
BALUFORGE,Balu Forge Industries Limited,EQ
BANARBEADS,Banaras Beads Limited,EQ
BANARISUG,Bannari Amman Sugars Limited,EQ
BANCOINDIA,Banco Products (I) Limited,EQ
BANDHANBNK,Bandhan Bank Limited,EQ
BANG,Bang Overseas Limited,EQ
BANKA,Banka BioLoo Limited,EQ
BANKBARODA,Bank of Baroda,EQ
BANKINDIA,Bank of India,EQ
BANSALWIRE,Bansal Wire Industries Limited,EQ
BANSWRAS,Banswara Syntex Limited,EQ
BASF,BASF India Limited,EQ
BATAINDIA,Bata India Limited,EQ
BATLIBOI,Batliboi Limited,EQ
BAYERCROP,Bayer Cropscience Limited,EQ
BBL,Bharat Bijlee Limited,EQ
BBOX,Black Box Limited,EQ
BBTC,The Bombay Burmah Trading Corporation Limited,EQ
BBTCL,B&B Triplewall Containers Limited,EQ
BCG,Brightcom Group Limited,EQ
BCLIND,Bcl Industries Limited,EQ
BCONCEPTS,Brand Concepts Limited,EQ
BCPL,BCPL Railway Infrastructure Limited,EQ
BDL,Bharat Dynamics Limited,EQ
BEARDSELL,Beardsell Limited,EQ
BECTORFOOD,Mrs. Bectors Food Specialities Limited,EQ
BEDMUTHA,Bedmutha Industries Limited,EQ
BEEKAY,Beekay Steel Industries Limited,EQ
BEL,Bharat Electronics Limited,EQ
BELLACASA,Bella Casa Fashion & Retail Limited,EQ
BELRISE,Belrise Industries Limited,EQ
BEML,BEML Limited,EQ
BENARAS,Benares Hotels Limited,EQ
BENGALASM,Bengal & Assam Company Limited,EQ
BEPL,Bhansali Engineering Polymers Limited,EQ
BERGEPAINT,Berger Paints (I) Limited,EQ
BESTAGRO,Best Agrolife Limited,EQ
BETA,Beta Drugs Limited,EQ
BFINVEST,BF Investment Limited,EQ
BFUTILITIE,BF Utilities Limited,EQ
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,EQ
BHAGERIA,Bhageria Industries Limited,EQ
BHAGYANGR,Bhagyanagar India Limited,EQ
BHANDARI,Bhandari Hosiery Exports Limited,EQ
BHARATCOAL,Bharat Coking Coal Limited,EQ
BHARATFORG,Bharat Forge Limited,EQ
BHARATRAS,Bharat Rasayan Limited,EQ
BHARATSE,Bharat Seats Limited,EQ
BHARATWIRE,Bharat Wire Ropes Limited,EQ
BHARTIARTL,Bharti Airtel Limited,EQ
BHARTIHEXA,Bharti Hexacom Limited,EQ
BHEL,Bharat Heavy Electricals Limited,EQ
BIGBLOC,Bigbloc Construction Limited,EQ
BIKAJI,Bikaji Foods International Limited,EQ
BIL,Bhartiya International Limited,EQ
BIMETAL,Bimetal Bearings Limited,EQ
BIOCON,Biocon Limited,EQ
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,EQ
BIRLACABLE,Birla Cable Limited,EQ
BIRLACORPN,Birla Corporation Limited,EQ
BIRLAMONEY,Aditya Birla Money Limited,EQ
BIRLANU,BirlaNu Limited,EQ
BLACKBUCK,BLACKBUCK LIMITED,EQ
BLAL,BEML Land Assets Limited,EQ
BLBLIMITED,BLB Limited,EQ
BLEL,Behari Lal Engineering Limited,EQ
BLIL,Balmer Lawrie Investments Limited,EQ
BLKASHYAP,B. L. Kashyap and Sons Limited,EQ
BLS,BLS International Services Limited,EQ
BLSE,BLS E-Services Limited,EQ
BLUECLOUDS,Blue Cloud Softech Solutions Limited,EQ
BLUECOAST,Blue Coast Hotels Limited,EQ
BLUEDART,Blue Dart Express Limited,EQ
BLUEJET,Blue Jet Healthcare Limited,EQ
BLUESTARCO,Blue Star Limited,EQ
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,EQ
BLUSPRING,Bluspring Enterprises Limited,EQ
BMWVENTLTD,BMW Ventures Limited,EQ
BNAGROCHEM,BN Agrochem Limited,EQ
BODALCHEM,Bodal Chemicals Limited,EQ
BOHRAIND,Bohra Industries Limited,EQ
BOMDYEING,Bombay Dyeing & Mfg Company Limited,EQ
BONLON,Bonlon Industries Limited,EQ
BORANA,Borana Weaves Limited,EQ
BOROLTD,Borosil Limited,EQ
BORORENEW,BOROSIL RENEWABLES LIMITED,EQ
